total employees,work_year,experience_level,employment_type,job_title,salary,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size,Average sallary of 2020,Average sallary of 2021,Average sallary of 2022,"Median of total 2020,2021,2022",top
0,2020,MI,FT,Data Scientist,70000,EUR," $79,833 ",DE,0,DE,L,"$324,000 "," $546,677 "," $158,828 "," $115,000 ",
1,2020,SE,FT,Machine Learning Scientist,260000,USD," $260,000 ",JP,0,JP,S,,,,,
2,2020,SE,FT,Big Data Engineer,85000,GBP," $109,024 ",GB,50,GB,M,,,,,
3,2020,MI,FT,Product Data Analyst,20000,USD," $20,000 ",HN,0,HN,S,,,,,
4,2020,SE,FT,Machine Learning Engineer,150000,USD," $150,000 ",US,50,US,L,,,,,
5,2020,EN,FT,Data Analyst,72000,USD," $72,000 ",US,100,US,L,,,,,
6,2020,SE,FT,Lead Data Scientist,190000,USD," $190,000 ",US,100,US,S,,,,,
7,2020,MI,FT,Data Scientist,11000000,HUF," $35,735 ",HU,50,HU,L,,,,,
8,2020,MI,FT,Business Data Analyst,135000,USD," $135,000 ",US,100,US,L,,,,,
9,2020,SE,FT,Lead Data Engineer,125000,USD," $125,000 ",NZ,50,NZ,S,,,,,
10,2020,EN,FT,Data Scientist,45000,EUR," $51,321 ",FR,0,FR,S,,,,,
11,2020,MI,FT,Data Scientist,3000000,INR," $40,481 ",IN,0,IN,L,,,,,
12,2020,EN,FT,Data Scientist,35000,EUR," $39,916 ",FR,0,FR,M,,,,,
13,2020,MI,FT,Lead Data Analyst,87000,USD," $87,000 ",US,100,US,L,,,,,
14,2020,MI,FT,Data Analyst,85000,USD," $85,000 ",US,100,US,L,,,,,
15,2020,MI,FT,Data Analyst,8000,USD," $8,000 ",PK,50,PK,L,,,,,
16,2020,EN,FT,Data Engineer,4450000,JPY," $41,689 ",JP,100,JP,S,,,,,
17,2020,SE,FT,Big Data Engineer,100000,EUR," $114,047 ",PL,100,GB,S,,,,,
18,2020,EN,FT,Data Science Consultant,423000,INR," $5,707 ",IN,50,IN,M,,,,,
19,2020,MI,FT,Lead Data Engineer,56000,USD," $56,000 ",PT,100,US,M,,,,,
20,2020,MI,FT,Machine Learning Engineer,299000,CNY," $43,331 ",CN,0,CN,M,,,,,
21,2020,MI,FT,Product Data Analyst,450000,INR," $6,072 ",IN,100,IN,L,,,,,
22,2020,SE,FT,Data Engineer,42000,EUR," $47,899 ",GR,50,GR,L,,,,,
23,2020,MI,FT,BI Data Analyst,98000,USD," $98,000 ",US,0,US,M,,,,,
24,2020,MI,FT,Lead Data Scientist,115000,USD," $115,000 ",AE,0,AE,L,,,,,
25,2020,EX,FT,Director of Data Science,325000,USD," $325,000 ",US,100,US,L,,,,,
26,2020,EN,FT,Research Scientist,42000,USD," $42,000 ",NL,50,NL,L,,,,,
27,2020,SE,FT,Data Engineer,720000,MXN," $33,511 ",MX,0,MX,S,,,,,
28,2020,EN,CT,Business Data Analyst,100000,USD," $100,000 ",US,100,US,L,,,,,
29,2020,SE,FT,Machine Learning Manager,157000,CAD," $117,104 ",CA,50,CA,L,,,,,
30,2020,MI,FT,Data Engineering Manager,51999,EUR," $59,303 ",DE,100,DE,S,,,,,
31,2020,EN,FT,Big Data Engineer,70000,USD," $70,000 ",US,100,US,L,,,,,
32,2020,SE,FT,Data Scientist,60000,EUR," $68,428 ",GR,100,US,L,,,,,
33,2020,MI,FT,Research Scientist,450000,USD," $450,000 ",US,0,US,M,,,,,
34,2020,MI,FT,Data Analyst,41000,EUR," $46,759 ",FR,50,FR,L,,,,,
35,2020,MI,FT,Data Engineer,65000,EUR," $74,130 ",AT,50,AT,L,,,,,
36,2020,MI,FT,Data Science Consultant,103000,USD," $103,000 ",US,100,US,L,,,,,
37,2020,EN,FT,Machine Learning Engineer,250000,USD," $250,000 ",US,50,US,L,,,,,
38,2020,EN,FT,Data Analyst,10000,USD," $10,000 ",NG,100,NG,S,,,,,
